7-Zip 19.00 (x64),Igor Pavlov,19.00
AMD Software,"Advanced Micro Devices, Inc.",17.12
AMD Ryzen Master,"Advanced Micro Devices, Inc.",2.0.1.1233
Autodesk AutoCAD 2019 — Русский (Russian),Autodesk,23.0.46.0
Autodesk 3ds Max 2020,Autodesk,22.0.0.757
Autodesk Mudbox 2019,Autodesk,13.0.0.0
Autodesk ReCap,Autodesk,5.0.3.58
Autodesk ReCap Photo,Autodesk,19.1.1.2
Autodesk Revit Interoperability for 3ds Max 2020,Autodesk,20.0.0.364
Cisco Packet Tracer 7.2.2 64Bit,"Cisco Systems, Inc.",
CPUID HWMonitor 1.38,"CPUID, Inc.",1.38
Docker Desktop,Docker Inc.,2.1.0.4
Git version 2.20.1,The Git Development Community,2.20.1
Oculus,"Facebook Technologies, LLC",<3
Microsoft Office профессиональный плюс 2019 - ru-ru,Microsoft Corporation,16.0.12026.20344
Microsoft Office профессиональный плюс 2019 - ru-ru.proof,Microsoft Corporation,16.0.12026.20344
Speccy,Piriform,1.32
SteelSeries Engine 3.13.6,SteelSeries ApS,3.13.6
TeamSpeak 3 Client,TeamSpeak Systems GmbH,3.2.3
Backup and Sync from Google,"Google, Inc.",3.46.7395.1225
Microsoft Visual Studio Code Insiders,Microsoft Corporation,1.37.0
Logitech Gaming Software 5.10,Logitech,5.10.127
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219,Microsoft Corporation,10.0.40219
Java 8 Update 201 (64-bit),Oracle Corporation,8.0.2010.9
Autodesk CAD Manager Tools,Autodesk,16.0.0.65
Autodesk Civil View for 3ds Max 2020 64-bit,Autodesk,22.0.0.0
Autodesk Network License Manager,"Autodesk, Inc.",11.14.1.3
Microsoft SQL Server 2014 Express LocalDB,Microsoft Corporation,12.1.4100.1
NVIDIA mental ray and IRay feature plugins for 3ds Max 2020,Autodesk,22.0.0.0
Autodesk BIM 360 Glue AutoCAD 2019 Add-in 64 bit,Autodesk,4.70.9
Autodesk Inventor Server Engine for 3ds Max 2020,Autodesk,21.0
Microsoft Visual C++ 2005 Redistributable (x64),Microsoft Corporation,8.0.59192
Microsoft Visual Studio Installer,Microsoft Corporation,2.0.3297.403
CMake,Kitware,3.13.2
PaperPort Image Printer 64-bit,"Nuance Communications, Inc.",14.00.0000
AMD Ryzen Master SDK,"Advanced Micro Devices, Inc.",1.4.0.0659
MAXtoA for 3ds Max 2020,Solid Angle,2.4.43.0
Oracle VM VirtualBox 6.0.4,Oracle Corporation,6.0.4
Microsoft Visual C++ 2005 Redistributable (x64),Microsoft Corporation,8.0.61000
Microsoft Web Deploy 4.0,Microsoft Corporation,10.0.1994
Microsoft System CLR Types для SQL Server 2019 CTP2.2,Microsoft Corporation,15.0.1200.24
PuTTY release 0.71 (64-bit),Simon Tatham,0.71.0.0
NVIDIA Графический драйвер 431.60,NVIDIA Corporation,431.60
NVIDIA GeForce Experience 3.20.0.118,NVIDIA Corporation,3.20.0.118
NVIDIA Системное программное обеспечение PhysX 9.19.0218,NVIDIA Corporation,9.19.0218
бновления NVIDIA 38.0.1.0,NVIDIA Corporation,38.0.1.0
NVIDIA Аудиодрайвер HD 1.3.38.16,NVIDIA Corporation,1.3.38.16
Office Tab Enterprise,Addin Technology Inc.,13.10
Autodesk Single Sign On Component,Autodesk,10.22.00.1800
Node.js,Node.js Foundation,10.16.0
Autodesk License Service (x64) - 7.1.4,Autodesk,7.1.4.0
Visual Studio Community 2019,Microsoft Corporation,16.0.28803.156
Adobe Flash Player 32 PPAPI,Adobe,32.0.0.270
AORUS ENGINE,"GIGABYTE Technology Co.,Inc.",1.5.1.0
риложение Autodesk для ,Autodesk,7.0.16.29
Battle.net,Blizzard Entertainment,
Battlelog Web Plugins,EA Digital Illusions CE AB,2.3.0
ESN Sonar,ESN Social Software AB,0.70.4
Google Chrome,Google LLC,78.0.3904.70
Origin,"Electronic Arts, Inc.",10.5.47.29954
Overwatch,Blizzard Entertainment,
Rockstar Games Social Club,Rockstar Games,1.2.4.1
Steam,Valve Corporation,2.10.91.91
TeamViewer 14,TeamViewer,14.7.1965
Tekken 7,"R.G. Mechanics, Panky",
Uplay,Ubisoft,29.0
Assassin's Creed IV Black Flag,Ubisoft,
Assassin's Creed Unity RU,Ubisoft,
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501,Microsoft Corporation,12.0.30501.0
Microsoft System CLR Types для SQL Server 2019 CTP2.2,Microsoft Corporation,15.0.1200.24
Autodesk Material Library Base Resolution Image Library 2020,Autodesk,18.11.1.0
Autodesk ReCap Photo Update 19.1.0,Autodesk,19.1.0.10
MSXML 4.0 SP3 Parser,Microsoft Corporation,4.30.2100.0
Windows SDK AddOn,Microsoft Corporation,10.1.0.0
Nuance PDF Viewer Plus,"Nuance Communications, Inc",5.30.3290
Nuance PaperPort 12,"Nuance Communications, Inc.",12.1.0006
Microsoft Visual C++ 2017 Redistributable (x86) - 14.16.27024,Microsoft Corporation,14.16.27024.1
Autodesk Genuine Service,Autodesk,3.0.11
Battlefield™ 1,Electronic Arts,1.0.57.44284
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030,Microsoft Corporation,11.0.61030.0
Autodesk Material Library Base Resolution Image Library 2019,Autodesk,17.11.3.0
Autodesk AutoCAD Performance Feedback Tool 1.3.0,Autodesk,1.3.0.0
Chocolatey GUI,Chocolatey,0.16.0.0
Titanfall™ 2,"Electronic Arts, Inc.",1.0.1.3
олосовой помощник Алиса,Яндекс,5.0.0.1903
Microsoft Visual C++ 2017 Redistributable (x64) - 14.16.27024,Microsoft Corporation,14.16.27024.1
Windows Software Development Kit - Windows 10.0.17763.132,Microsoft Corporation,10.1.17763.132
Microsoft Visual C++ 2005 Redistributable,Microsoft Corporation,8.0.61001
екомендованные приложения Autodesk 2016-2019,Autodesk,2.5.0
OEM Application Profile,азвание организации,1.00.0000
Autodesk Download Manager,"Autodesk, Inc.",6.1.32.0
MSI Command Center,MSI,3.0.0.87
Realtek Ethernet Controller Driver,Realtek,10.31.828.2018
Autodesk Material Library 2019,Autodesk,17.11.3.0
MSI MysticLight,MSI,3.0.0.44
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17,Microsoft Corporation,9.0.30729
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161,Microsoft Corporation,9.0.30729.6161
Epic Games Launcher,"Epic Games, Inc.",1.1.167.0
Battlefield 4™,Electronic Arts,1.8.2.48475
Dell Display Manager,EnTech Taiwan,1.40
Autodesk Material Library Medium Resolution Image Library 2020,Autodesk,18.11.1.0
UBitMenu RU,UBit Schweiz AG,01.04
Autodesk Material Library 2020,Autodesk,18.11.1.0
Autodesk App Manager 2016-2019,Autodesk,2.5.0
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030,Microsoft Corporation,11.0.61030.0
Microsoft XNA Framework Redistributable 4.0 Refresh,Microsoft Corporation,4.0.30901.0
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219,Microsoft Corporation,10.0.40219
Realtek High Definition Audio Driver,Realtek Semiconductor Corp.,6.0.1.8581
Autodesk AutoCAD 2019.1.2 Update,Autodesk,23.0.162.0
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501,Microsoft Corporation,12.0.30501.0
Brother MFL-Pro Suite DCP-L2520DW series,"Brother Industries, Ltd.",1.0.2.0
Python Launcher,Python Software Foundation,3.7.6565.0
FARO LS 1.1.700.0 (64bit),FARO Scanner Production,7.0.0.23
Discord,Discord Inc.,0.0.305
GitKraken,"Axosoft, LLC",6.2.1
Postman-win64-7.10.0,Postman,7.10.0
JetBrains Toolbox,JetBrains,1.12.4481
µTorrent,BitTorrent Inc.,3.5.5.45146
Yandex, «ЯНДЕКС»,19.10.0.1522
Python 3.7.2 (32-bit),Python Software Foundation,3.7.2150.0
Qt,The Qt Company Ltd,%MAINTENANCE_TOOL_VERSION%
Telegram Desktop version 1.8.15,Telegram FZ-LLC,1.8.15
